1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) INCUMBENT INDICATOR,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (when applicable),GE RUNOFF ELECTION % (when applicable),COMBINED GE PARTY TOTALS (when applicable),COMBINED GE PARTY % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,1ST ROUND RCV VOTES,1ST ROUND RCV %,2ND ROUND RCV VOTES,2ND ROUND RCV %,3RD ROUND RCV VOTES,3RD ROUND RCV %
186,AR,Arkansas,01,n/a,,,,,Party Votes:,R,85920,,,,,,,,,,,,,,,,,,
187,AR,Arkansas,01,H2AR01113,,Monte,Hodges,"Hodges, Monte",,D,Unopposed,,,,54598,26.2021768759718%,,,,,W,,,,,,,,
188,AR,Arkansas,01,n/a,,,,,District Votes:,,85920,,,,208372,,,,,,,,,,,,,,
189,AR,Arkansas,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,,,,,,,
190,AR,Arkansas,02,H4AR02141,(I),French ,Hill,"Hill, French ",,R,49488,58.5199725658066%,,,147975,60.0435795265494%,,,,,W,W,,,,,,,
191,AR,Arkansas,02,H4AR02166,,Conrad,Reynolds,"Reynolds, Conrad",,R,35078,41.4800274341934%,,,,,,,,,,,,,,,,,
192,AR,Arkansas,02,n/a,,,,,Party Votes:,R,84566,,,,,,,,,,,,,,,,,,
193,AR,Arkansas,02,H2AR02095,,Quintessa ,Hathaway,"Hathaway, Quintessa ",,D,Unopposed,,,,86887,35.2559992858476%,,,,,W,,,,,,,,
194,AR,Arkansas,02,H2AR02129,,Michael,White,"White, Michael",,LIB,,,,,11584,4.70042118760296%,,,,,,,,,,,,,
195,AR,Arkansas,02,n/a,,,,,District Votes:,,84566,,,,246446,,,,,,,,,,,,,,
196,AR,Arkansas,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,,,,,,,
197,AR,Arkansas,03,H0AR03055,(I),Steve ,Womack,"Womack, Steve ",,R,60814,78.7460506552028%,,,142401,63.6890172996762%,,,,,W,W,,,,,,,
198,AR,Arkansas,03,H2AR03275,,Neil Robinson,Kumar,"Kumar, Neil Robinson",,R,16414,21.2539493447972%,,,,,,,,,,,,,,,,,
199,AR,Arkansas,03,n/a,,,,,Party Votes:,R,77228,,,,,,,,,,,,,,,,,,
200,AR,Arkansas,03,H2AR03283,,Lauren ,Mallett-Hays,"Mallett-Hays, Lauren ",,D,Unopposed,,,,73541,32.8913000697712%,,,,,W,,,,,,,,
201,AR,Arkansas,03,H8AR03090,,Michael J.,Kalagias,"Kalagias, Michael J.",,LIB,,,,,7646,3.41968263055262%,,,,,,,,,,,,,
202,AR,Arkansas,03,n/a,,,,,District Votes:,,77228,,,,223588,,,,,,,,,,,,,,
203,AR,Arkansas,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,,,,,,,
204,AR,Arkansas,04,H4AR04048,(I),Bruce,Westerman,"Westerman, Bruce",,R,Unopposed,,,,153850,70.9980802599033%,,,,,W,W,,,,,,,
205,AR,Arkansas,04,H2AR04158,,John ,White,"White, John ",,D,Unopposed,,,,56745,26.1864547568945%,,,,,W,,,,,,,,
206,AR,Arkansas,04,H2AR04166,,Gregory,Maxwell,"Maxwell, Gregory",,LIB,,,,,6101,2.81546498320227%,,,,,,,,,,,,,
207,AR,Arkansas,04,n/a,,,,,District Votes:,,,,,,216696,,,,,,,,,,,,,,
208,AR,Arkansas,H,n/a,,,,,Total State Votes:,,247714,,,,895102,,,,,,,,,,,,,,
209,CA,California,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",,,,,,
210,CA,California,01,H2CA02142,(I),Doug ,LaMalfa,"LaMalfa, Doug ",,R,96858,57.1123637907448%,,,152839,62.0729008021119%,,,,,W,W,,,,,,,
211,CA,California,01,H2CA01227,,Max,Steiner,"Steiner, Max",,D,55549,32.7544931364687%,,,93386,37.9270991978881%,,,,,W,,,,,,,,
212,CA,California,01,H2CA01250,,Tim ,Geist,"Geist, Tim ",,R,11408,6.72673239303741%,,,,,,,,,,,,,,,,,
213,CA,California,01,H2CA01268,,Rose Penelope,Yee,"Yee, Rose Penelope",,NOP,5777,3.40641067974904%,,,,,,,,,,,,,,,,,
214,CA,California,01,n/a,,,,,District Votes:,,169592,,,,246225,,,,,,,,,,,,,,
215,CA,California,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,,,,,,,
216,CA,California,02,H2CA06259,(I),Jared,Huffman,"Huffman, Jared",,D,145245,68.7319291504394%,,,229720,74.4034798493275%,,,,,W,W,,,,,,,
217,CA,California,02,H2CA02209,,Douglas ,Brower,"Brower, Douglas ",,D,18102,8.56611505718788%,,,79029,25.5965201506726%,,,,,W,,,,,,,,
218,CA,California,02,H2CA02241,,Chris ,Coulombe,"Coulombe, Chris ",,R,17498,8.28029396037308%,,,,,,,,,,,,,,,,,
219,CA,California,02,H2CA02225,,Beth,Hampson,"Hampson, Beth",,D,14262,6.74897430922625%,,,,,,,,,,,,,,,,,
220,CA,California,02,H2CA02258,,Archimedes,Ramirez,"Ramirez, Archimedes",,R,12202,5.77415401214267%,,,,,,,,,,,,,,,,,
221,CA,California,02,H2CA02266,,Darian J.,Elizondo,"Elizondo, Darian J.",,R,4012,1.89853351063075%,,,,,,,,,,,,,,,,,
222,CA,California,02,n/a,,,,,District Votes:,,211321,,,,308749,,,,,,,,,,,,,,
223,CA,California,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,,,,,,,
224,CA,California,03,H2CA03157,,Kevin,Kiley,"Kiley, Kevin",,R,93552,39.6857448288735%,,,181438,53.6482958258304%,,,,,W,W,,,,,,,
225,CA,California,03,H2CA04122,,Kermit,Jones,"Jones, Kermit",,D,91217,38.6952132082195%,,,156761,46.3517041741697%,,,,,W,,,,,,,,
226,CA,California,03,H2CA03140,,Scott,Jones,"Jones, Scott",,D,38288,16.2421733154599%,,,,,,,,,,,,,,,,,
227,CA,California,03,H6CA01202,,David ,Peterson,"Peterson, David ",,D,12675,5.3768686474471%,,,,,,,,,,,,,,,,,
228,CA,California,03,n/a,,,,,District Votes:,,235732,,,,338199,,,,,,,,,,,,,,
229,CA,California,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,,,,,,,
230,CA,California,04,H8CA01109,(I),Mike ,Thompson,"Thompson, Mike ",,D,115041,66.2281812738912%,,,176900,67.8019370886944%,,,,,W,W,,,,,,,
231,CA,California,04,H2CA04148,,Matt,Brock,"Brock, Matt",,R,28260,16.2690554045963%,,,84007,32.1980629113056%,,,,,W,,,,,,,,
232,CA,California,04,H0CA05107,,Scott,Giblin,"Giblin, Scott",,R,16914,9.73725417952379%,,,,,,,,,,,,,,,,,
233,CA,California,04,H2CA04155,,Andrew David ,Engdahl,"Engdahl, Andrew David ",,D,8634,4.97052457053378%,,,,,,,,,,,,,,,,,
234,CA,California,04,H8CA05183,,Jason,Kishineff,"Kishineff, Jason",,NOP,2477,1.42598903882467%,,,,,,,,,,,,,,,,,
235,CA,California,04,H2CA04163,,Jimih L.,Jones,"Jones, Jimih L.",,R,2363,1.36036015290379%,,,,,,,,,,,,,,,,,
236,CA,California,04,H2CA04130	,,Seth T.,Newman,"Newman, Seth T.",,W(NOP),15,0.00863537972643117%,,,,,,,,,,,,,,,,,
237,CA,California,04,n/a,,,,,District Votes:,,173704,,,,260907,,,,,,,,,,,,,,
238,CA,California,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,,,,,,,,
239,CA,California,05,H8CA04152,(I),Tom,McClintock,"McClintock, Tom",,R,87010,45.4526458757771%,,,173524,61.3094018301947%,,,,,W,W,,,,,,,
240,CA,California,05,H2CA00096,,"Michael J. ""Mike""",Barkley,"Barkley, Michael J. ""Mike""",,D,64285,33.5814658099566%,,,109506,38.6905981698053%,,,,,W,,,,,,,,
241,CA,California,05,H2CA22181,,Nathan F. ,Magsig,"Magsig, Nathan F. ",,R,25299,13.2157968970381%,,,,,,,,,,,,,,,,,
242,CA,California,05,H2CA05137,,Steve ,Wozniak,"Wozniak, Steve ",,NOP,6045,3.15781225513242%,,,,,,,,,,,,,,,,,
243,CA,California,05,H2CA05111,,David,Main,"Main, David",,R,5927,3.09617092409758%,,,,,,,,,,,,,,,,,
244,CA,California,05,H2CA05129,,Kelsten Charles,Obert,"Obert, Kelsten Charles",,R,2864,1.49610823799822%,,,,,,,,,,,,,,,,,
245,CA,California,05,n/a,,,,,District Votes:,,191430,,,,283030,,,,,,,,,,,,,,
246,CA,California,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,,,,,,,,
247,CA,California,06,H0CA03078,(I),Ami,Bera,"Bera, Ami",,D,76317,52.6117319398581%,,,121058,55.9461695234838%,,,,,W,W,,,,,,,
248,CA,California,06,H0CA03128,,Tamika,Hamilton,"Hamilton, Tamika",,R,27339,18.8470739088772%,,,95325,44.0538304765162%,,,,,W,,,,,,,,
249,CA,California,06,H2CA07133,,Bret,Daniels,"Daniels, Bret",,R,16612,11.4520498838388%,,,,,,,,,,,,,,,,,
250,CA,California,06,H0CA06170,,Chris (Christine),Bish,"Bish, Chris (Christine)",,R,11421,7.87345664118243%,,,,,,,,,,,,,,,,,
251,CA,California,06,H2CA07125,,Mark,Gorman,"Gorman, Mark",,D,7528,5.18968405523346%,,,,,,,,,,,,,,,,,
252,CA,California,06,H2CA06333,,Karla,Black,"Black, Karla",,R,3553,2.4493819670888%,,,,,,,,,,,,,,,,,
253,CA,California,06,H2CA06325,,"D. Keith, Jr.",Langford,"Langford, D. Keith, Jr.",,R,2272,1.56628084132445%,,,,,,,,,,,,,,,,,
254,CA,California,06,H0CA07145,,Chris,Richardson,"Richardson, Chris",,W(GRE),15,0.0103407625967723%,,,,,,,,,,,,,,,,,
255,CA,California,06,n/a,,,,,District Votes:,,145057,,,,216383,,,,,,,,,,,,,,
256,CA,California,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,,,,,,,,
257,CA,California,07,H6CA05195,(I),Doris,Matsui,"Matsui, Doris",,D,94896,63.1906987894043%,,,150618,68.2607375448106%,,,,,W,W,,,,,,,
258,CA,California,07,H2CA07141,,Max,Semenenko,"Semenenko, Max",,R,42728,28.4523286321201%,,,70033,31.7392624551894%,,,,,W,,,,,,,,
259,CA,California,07,H2CA06317,,Jimmy,Fremgen,"Fremgen, Jimmy",,D,12550,8.35697257847564%,,,,,,,,,,,,,,,,,
260,CA,California,07,n/a,,,,,District Votes:,,150174,,,,220651,,,,,,,,,,,,,,
261,CA,California,,n/a,,,,DISTRICT 8,,,,,,,,,,,,,,,,,,,,,
262,CA,California,08,H0CA10149,(I),John,Garamendi,"Garamendi, John",,D,72333,63.0864229833329%,,,145501,75.7285242147448%,,,,,W,W,,,,,,,
263,CA,California,08,H2CA00153,,Rudy,Recile,"Recile, Rudy",,R,23518,20.5116128975989%,,,46634,24.2714757852552%,,,,,W,,,,,,,,
264,CA,California,08,H2CA08230,,Cheryl,Sudduth,"Sudduth, Cheryl",,D,11378,9.92351099365935%,,,,,,,,,,,,,,,,,
265,CA,California,08,H2CA08255,,Christopher,Riley,"Riley, Christopher",,D,3926,3.42412587107634%,,,,,,,,,,,,,,,,,
266,CA,California,08,H2CA08248,,Edwin,Rutsch,"Rutsch, Edwin",,D,3268,2.85024028188423%,,,,,,,,,,,,,,,,,
267,CA,California,08,H2CA08222,,Demnlus,Johnson,"Johnson, Demnlus",,W(D),234,0.204086972448259%,,,,,,,,,,,,,,,,,
268,CA,California,08,n/a,,,,,District Votes:,,114657,,,,192135,,,,,,,,,,,,,,
269,CA,California,,n/a,,,,DISTRICT 9,,,,,,,,,,,,,,,,,,,,,
270,CA,California,09,H8CA10126,(I),Josh,Harder,"Harder, Josh",,D,39026,36.7127308303779%,,,95598,54.8153669724771%,,,,,W,W,,,,,,,
271,CA,California,09,H2CA09139,,Tom,Patti,"Patti, Tom",,R,30843,29.0147787885344%,,,78802,45.1846330275229%,,,,,W,,,,,,,,
272,CA,California,09,H2CA09154,,Jim,Shoemaker,"Shoemaker, Jim",,R,15443,14.5276149801037%,,,,,,,,,,,,,,,,,
273,CA,California,09,H2CA09121,,Harpreet Singh,Chima,"Chima, Harpreet Singh",,D,8433,7.93313327249979%,,,,,,,,,,,,,,,,,
274,CA,California,09,H2CA09147,,Jonathan,Madison,"Madison, Jonathan",,R,5992,5.63682373637125%,,,,,,,,,,,,,,,,,
275,CA,California,09,H0CA43074,,Khalid Jeffrey,Jafri,"Jafri, Khalid Jeffrey",,D,3174,2.98586090441294%,,,,,,,,,,,,,,,,,
276,CA,California,09,H2CA10236,,Karena Apple,Feng,"Feng, Karena Apple",,D,2632,2.47598799634999%,,,,,,,,,,,,,,,,,
277,CA,California,09,H2CA09162,,Mark T. ,Andrews,"Andrews, Mark T. ",,NOP,758,0.713069491350034%,,,,,,,,,,,,,,,,,
278,CA,California,09,n/a,,,,,District Votes:,,106301,,,,174400,,,,,,,,,,,,,,
279,CA,California,,n/a,,,,DISTRICT 10,,,,,,,,,,,,,,,,,,,,,
280,CA,California,10,H0CA10073,(I),Mark ,DeSaulnier,"DeSaulnier, Mark ",,D,124787,83.9553268072796%,,,198415,78.9303047179569%,,,,,W,W,,,,,,,
281,CA,California,10,H2CA10244,,Michael Ernest,Kerr,"Kerr, Michael Ernest",,GRE,22210,14.9426447337437%,,,52965,21.0696952820431%,,,,,W,,,,,,,,
282,CA,California,10,n/a,,Katherine,Piccinini,"Piccinini, Katherine",,W(R),1638,1.10202845897669%,,,,,,,,,,,,,,,,,
283,CA,California,10,n/a,,,,,District Votes:,,148635,,,,251380,,,,,,,,,,,,,,
284,CA,California,,n/a,,,,DISTRICT 11,,,,,,,,,,,,,,,,,,,,,
285,CA,California,11,H8CA05035,(I),Nancy,Pelosi,"Pelosi, Nancy",,D,133798,71.6508868134693%,,,220848,83.9518750118792%,,,,,W,W,,,,,,,
286,CA,California,11,H2CA12174,,John,Dennis,"Dennis, John",,R,20054,10.7392254305544%,,,42217,16.0481249881208%,,,,,W,,,,,,,,
287,CA,California,11,H8CA12262,,Shahid,Buttar,"Buttar, Shahid",,D,19471,10.4270199640134%,,,,,,,,,,,,,,,,,
288,CA,California,11,H2CA12224,,Eve Del,Castello,"Castello, Eve Del",,R,7319,3.91943706623254%,,,,,,,,,,,,,,,,,
289,CA,California,11,H2CA12166,,Jeffrey,Phillips,"Phillips, Jeffrey",,D,3595,1.92517779110616%,,,,,,,,,,,,,,,,,
290,CA,California,11,H2CA12208,,Bianca Von,Krieg,"Krieg, Bianca Von",,D,2499,1.33825293462428%,,,,,,,,,,,,,,,,,
291,CA,California,11,n/a,,,,,District Votes:,,186736,,,,263065,,,,,,,,,,,,,,
292,CA,California,,n/a,,,,DISTRICT 12,,,,,,,,,,,,,,,,,,,,,
293,CA,California,12,H8CA09060,(I),Barbara,Lee,"Lee, Barbara",,D,135892,87.6937571791794%,,,217110,90.4741862490572%,,,,,W,W,,,,,,,
294,CA,California,12,H2CA12240,,Stephen,Slauson,"Slauson, Stephen",,R,8274,5.33937352383165%,,,22859,9.52581375094283%,,,,,W,,,,,,,,
295,CA,California,12,H2CA12232,,Glenn,Kaplan,"Kaplan, Glenn",,NOP,5141,3.31758753758986%,,,,,,,,,,,,,,,,,
296,CA,California,12,H2CA12265,,Eric ,Wilson,"Wilson, Eric ",,D,3753,2.42188407480544%,,,,,,,,,,,,,,,,,
297,CA,California,12,H2CA12257,,Ned,Nuerge,"Nuerge, Ned",,R,1902,1.22739768459364%,,,,,,,,,,,,,,,,,
298,CA,California,12,n/a,,,,,District Votes:,,154962,,,,239969,,,,,,,,,,,,,,
299,CA,California,,n/a,,,,DISTRICT 13,,,,,,,,,,,,,,,,,,,,,
300,CA,California,13,H2CA13131,,John,Duarte,"Duarte, John",,R,26163,34.2483506126296%,,,67060,50.2111473838689%,,,,,W,W,,,,,,,
301,CA,California,13,H2CA13115,,Adam,Gray,"Gray, Adam",,D,23784,31.134150172793%,,,66496,49.7888526161311%,,,,,W,,,,,,,,
302,CA,California,13,H0CA22102,,Phil ,Arballo,"Arballo, Phil ",,D,13099,17.1470834642371%,,,,,,,,,,,,,,,,,
303,CA,California,13,H2CA16134,,David A.,Giglio,"Giglio, David A.",,R,11320,14.8183055817363%,,,,,,,,,,,,,,,,,
304,CA,California,13,H2CA13123,,Diego Javier,Martinez,"Martinez, Diego Javier",,R,2026,2.65211016860404%,,,,,,,,,,,,,,,,,
305,CA,California,13,n/a,,,,,District Votes:,,76392,,,,133556,,,,,,,,,,,,,,
306,CA,California,,n/a,,,,DISTRICT 14,,,,,,,,,,,,,,,,,,,,,
307,CA,California,14,H2CA15094,(I),Eric ,Swalwell,"Swalwell, Eric ",,D,77120,63.6167158860311%,,,137612,69.3385198323122%,,,,,W,W,,,,,,,
308,CA,California,14,H0CA15247,,Alison,Hayden,"Hayden, Alison",,R,12503,10.3137940705789%,,,60852,30.6614801676878%,,,,,W,,,,,,,,
309,CA,California,14,H2CA14196,,Tom,Wong,"Wong, Tom",,R,11406,9.40887268407767%,,,,,,,,,,,,,,,,,
310,CA,California,14,H2CA14204,,"Sri ""Steve""",Iyer,"Iyer, Sri ""Steve""",,R,10829,8.93290218270008%,,,,,,,,,,,,,,,,,
311,CA,California,14,H2CA14212,,James Andrew,Peters,"Peters, James Andrew",,D,6216,5.12761288832429%,,,,,,,,,,,,,,,,,
312,CA,California,14,H2CA14220,,Major ,Singh,"Singh, Major ",,NOP,2495,2.05813934304522%,,,,,,,,,,,,,,,,,
313,CA,California,14,H2CA15136,,Liam Miguel,Simard,"Simard, Liam Miguel",,NOP,657,0.54196294524277%,,,,,,,,,,,,,,,,,
314,CA,California,14,n/a,,,,,District Votes:,,121226,,,,198464,,,,,,,,,,,,,,
315,CA,California,,n/a,,,,DISTRICT 15,,,,,,,,,,,,,,,,,,,,,
316,CA,California,15,H2CA14162,,Kevin,Mullin,"Mullin, Kevin",,D,58806,41.1121520155483%,,,108077,55.4599382164886%,,,,,W,W,,,,,,,
317,CA,California,15,H2CA14170,,David J.,Canepa,"Canepa, David J.",,D,34488,24.1110753785707%,,,86797,44.5400617835114%,,,,,W,,,,,,,,
318,CA,California,15,H2CA14147,,Gus ,Mattammal,"Mattammal, Gus ",,R,23625,16.5165899970637%,,,,,,,,,,,,,,,,,
319,CA,California,15,H2CA14188,,Emily ,Beach,"Beach, Emily ",,D,20816,14.5527761853493%,,,,,,,,,,,,,,,,,
320,CA,California,15,H2CA15144,,Jim,Garrity,"Garrity, Jim",,NOP,3081,2.15397307009326%,,,,,,,,,,,,,,,,,
321,CA,California,15,H2CA14154,,Andrew G. ,Watters,"Watters, Andrew G.",,D,1551,1.08432724171199%,,,,,,,,,,,,,,,,,
322,CA,California,15,H2CA15151,,Ferenc,Pataki,"Pataki, Ferenc",,NOP,671,0.469106111662635%,,,,,,,,,,,,,,,,,
323,CA,California,15,n/a,,,,,District Votes:,,143038,,,,194874,,,,,,,,,,,,,,
324,CA,California,,n/a,,,,DISTRICT 16,,,,,,,,,,,,,,,,,,,,,
325,CA,California,16,H8CA12098,(I),Anna G. ,Eshoo,"Eshoo, Anna G. ",,D,81100,47.8790920093279%,,,139235,57.7721808910115%,,,,,W,W,,,,,,,
326,CA,California,16,H0CA18068,,Rishi,Kumar,"Kumar, Rishi",,D,26438,15.608229772412%,,,101772,42.2278191089885%,,,,,W,,,,,,,,
327,CA,California,16,H2CA18155,,Peter ,Ohtaki,"Ohtaki, Peter ",,R,21354,12.6067833633439%,,,,,,,,,,,,,,,,,
328,CA,California,16,H2CA16167,,Richard B. ,Fox,"Fox, Richard B. ",,R,13187,7.78522301266346%,,,,,,,,,,,,,,,,,
329,CA,California,16,H2CA18148,,Ajwang,Rading,"Rading, Ajwang",,D,11418,6.74085662839094%,,,,,,,,,,,,,,,,,
330,CA,California,16,H2CA18130,,Greg Lin,Tanaka,"Tanaka, Greg Lin",,D,11107,6.55725123239956%,,,,,,,,,,,,,,,,,
331,CA,California,16,H2CA16159,,Benjamin Thomas ,Solomon,"Solomon, Benjamin Thomas ",,R,2659,1.56979661717389%,,,,,,,,,,,,,,,,,
332,CA,California,16,H8CA18095,,John Karl ,Fredrich,"Fredrich, John Karl ",,NOP,2120,1.25158662219205%,,,,,,,,,,,,,,,,,
333,CA,California,16,n/a,,Travis Andrew,Odekirk,"Odekirk, Travis Andrew",,W(D),2,0.00118074209640759%,,,,,,,,,,,,,,,,,
334,CA,California,16,n/a,,,,,District Votes:,,169385,,,,241007,,,,,,,,,,,,,,
335,CA,California,,n/a,,,,DISTRICT 17,,,,,,,,,,,,,,,,,,,,,
336,CA,California,17,H4CA12055,(I),Ro,Khanna,"Khanna, Ro",,D,74892,65.9574093319007%,,,127853,70.9297487420459%,,,,,W,W,,,,,,,
337,CA,California,17,H0CA17193,,Ritesh,Tandon,"Tandon, Ritesh",,R,28730,25.3025205643528%,,,52400,29.0702512579541%,,,,,W,,,,,,,,
338,CA,California,17,H8CA17105,,Stephen ,Forbes,"Forbes, Stephen ",,D,5694,5.01470769555951%,,,,,,,,,,,,,,,,,
339,CA,California,17,H2CA17124,,Rao,Ravul,"Ravul, Rao",,D,2394,2.10839659697391%,,,,,,,,,,,,,,,,,
340,CA,California,17,H6CA14064 ,,Joe,Dehn,"Dehn, Joe",,LIB,1836,1.61696581121308%,,,,,,,,,,,,,,,,,
341,CA,California,17,n/a,,,,,District Votes:,,113546,,,,180253,,,,,,,,,,,,,,
342,CA,California,,n/a,,,,DISTRICT 18,,,,,,,,,,,,,,,,,,,,,
343,CA,California,18,H4CA16049,(I),Zoe,Lofgren,"Lofgren, Zoe",,D,50104,56.1125296779107%,,,99776,65.8530951139506%,,,,,W,W,,,,,,,
344,CA,California,18,H2CA18163,,Peter ,Hernandez,"Hernandez, Peter ",,R,27935,31.2849975361735%,,,51737,34.1469048860494%,,,,,W,,,,,,,,
345,CA,California,18,H2CA18189,,Luis,Acevedo-Arreguin,"Acevedo-Arreguin, Luis",,D,11253,12.6024727859159%,,,,,,,,,,,,,,,,,
346,CA,California,18,n/a,,,,,District Votes:,,89292,,,,151513,,,,,,,,,,,,,,
347,CA,California,,n/a,,,,DISTRICT 19,,,,,,,,,,,,,,,,,,,,,
348,CA,California,19,H6CA20152,(I),Jimmy,Panetta,"Panetta, Jimmy",,D,127545,67.3032273043882%,,,194494,68.6505947548622%,,,,,W,W,,,,,,,
349,CA,California,19,H0CA20122,,Jeff,Gorman,"Gorman, Jeff",,R,44181,23.3135276611014%,,,88816,31.3494052451378%,,,,,W,,,,,,,,
350,CA,California,19,H2CA20136,,Dalila,Epperson,"Epperson, Dalila",,R,12082,6.3754564451105%,,,,,,,,,,,,,,,,,
351,CA,California,19,H8CA20091,,Douglas ,Deitch,"Deitch, Douglas ",,D,5700,3.00778858939992%,,,,,,,,,,,,,,,,,
352,CA,California,19,n/a,,,,,District Votes:,,189508,,,,283310,,,,,,,,,,,,,,
353,CA,California,,n/a,,,,DISTRICT 20,,,,,,,,,,,,,,,,,,,,,
354,CA,California,20,H6CA22125,(I),Kevin,McCarthy,"McCarthy, Kevin",,R,85748,61.2984859099553%,,,153847,67.2464059515432%,,,,,W,W,,,,,,,
355,CA,California,20,H2CA23155,,Marisa ,Wood,"Wood, Marisa ",,D,33511,23.9559355475173%,,,74934,32.7535940484568%,,,,,W,,,,,,,,
356,CA,California,20,H2CA20144,,Ben,Dewell,"Dewell, Ben",,D,8757,6.26009750797078%,,,,,,,,,,,,,,,,,
357,CA,California,20,H8CA23137,,James ,Davis,"Davis, James ",,R,6382,4.56228643323849%,,,,,,,,,,,,,,,,,
358,CA,California,20,H2CA20151,,James ,Macauley,"Macauley, James ",,R,5488,3.92319460131822%,,,,,,,,,,,,,,,,,
359,CA,California,20,n/a,,,,,District Votes:,,139886,,,,228781,,,,,,,,,,,,,,
360,CA,California,,n/a,,,,DISTRICT 21,,,,,,,,,,,,,,,,,,,,,
361,CA,California,21,H4CA20082,(I),Jim ,Costa,"Costa, Jim ",,D,33850,46.9747432694976%,,,68074,54.1787706829451%,,,,,W,W,,,,,,,
362,CA,California,21,H2CA22215,,Michael,Maher,"Maher, Michael",,R,19040,26.4224257563142%,,,57573,45.8212293170549%,,,,,W,,,,,,,,
363,CA,California,21,H2CA22249,,Matt,Stoll,"Stoll, Matt",,R,11931,16.5570358034971%,,,,,,,,,,,,,,,,,
364,CA,California,21,H0CA22110,,Eric,Garcia,"Garcia, Eric",,D,7239,10.0457951706911%,,,,,,,,,,,,,,,,,
365,CA,California,21,n/a,,,,,District Votes:,,72060,,,,125647,,,,,,,,,,,,,,
366,CA,California,,n/a,,,,DISTRICT 22,,,,,,,,,,,,,,,,,,,,,
367,CA,California,22,H2CA20094,(I),David G.,Valadao,"Valadao, David G.",,R,14331,25.5778257687983%,,,52994,51.5225169168546%,,,,,W,W,,,,,,,
368,CA,California,22,H2CA21233,,Rudy,Salas,"Salas, Rudy",,D,25337,45.2212247229114%,,,49862,48.4774830831454%,,,,,W,,,,,,,,
369,CA,California,22,H2CA21183,,Chris,Mathys,"Mathys, Chris",,R,13111,23.4003819450642%,,,,,,,,,,,,,,,,,
370,CA,California,22,H2CA21225,,Adam,Medeiros,"Medeiros, Adam",,R,3250,5.80056756322619%,,,,,,,,,,,,,,,,,
371,CA,California,22,n/a,,,,,District Votes:,,56029,,,,102856,,,,,,,,,,,,,,
372,CA,California,,n/a,,,,DISTRICT 23,,,,,,,,,,,,,,,,,,,,,
373,CA,California,23,H0CA08135,(I),Jay,Obernolte,"Obernolte, Jay",,R,57988,60.8606213266163%,,,103197,61.0253984210993%,,,,,W,W,,,,,,,
374,CA,California,23,H2CA08214,,Derek,Marshall,"Marshall, Derek",,D,20776,21.8052057094878%,,,65908,38.9746015789007%,,,,,W,,,,,,,,
375,CA,California,23,H0CA08226,,Blanca A. ,G¢mez,"G¢mez, Blanca A. ",,D,16516,17.3341729638959%,,,,,,,,,,,,,,,,,
376,CA,California,23,n/a,,,,,District Votes:,,95280,,,,169105,,,,,,,,,,,,,,
377,CA,California,,n/a,,,,DISTRICT 24,,,,,,,,,,,,,,,,,,,,,
378,CA,California,24,H6CA24303,(I),Salud ,Carbajal,"Carbajal, Salud ",,D,111199,59.9963311266139%,,,159019,60.5666686980103%,,,,,W,W,,,,,,,
379,CA,California,24,H4CA24175,,Brad,Allen,"Allen, Brad",,R,57532,31.0408270072244%,,,103533,39.4333313019897%,,,,,W,,,,,,,,
380,CA,California,24,H2CA24203,,Michele R.,Weslander Quaid,"Weslander Quaid, Michele R.",,NOP,13880,7.48881802927545%,,,,,,,,,,,,,,,,,
381,CA,California,24,H2CA24211,,Jeff,Frankenfield,"Frankenfield, Jeff",,NOP,2732,1.47402383688621%,,,,,,,,,,,,,,,,,
382,CA,California,24,n/a,,,,,District Votes:,,185343,,,,262552,,,,,,,,,,,,,,
383,CA,California,,n/a,,,,DISTRICT 25,,,,,,,,,,,,,,,,,,,,,
384,CA,California,25,H2CA36439,(I),Raul,Ruiz,"Ruiz , Raul",,D,55315,56.3943885977612%,,,87641,57.378455172775%,,,,,W,W,,,,,,,
385,CA,California,25,H2CA01177,,Brian E. ,Hawkins,"Hawkins, Brian E. ",,R,16085,16.3988744571091%,,,65101,42.621544827225%,,,,,W,,,,,,,,
386,CA,California,25,H2CA25242,,Brian M. ,Tyson,"Tyson, Brian M. ",,R,14186,14.4628183430867%,,,,,,,,,,,,,,,,,
